# SIRIUS STORAGE RING PV FLATLIST
# ===============================
#
# Lists all SI PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-11 14:58:06  (by sirius-pvs-generate-flatlist.py)
#

# --- TI (timing) ---

SIPS-SF2J-18C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-17C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-16C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-15C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-14C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-13C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-12C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-11C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-10C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-09C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-08C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-07C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-06C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-05C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-04C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-03C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-02C2                                    DESCRIPTION_IS_MISSING
SIPS-SF2J-01C2                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-20C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-19C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-18C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-17C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-16C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-15C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-14C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-13C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-12C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-11C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-10C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-09C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-08C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-07C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-06C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-05C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-04C4                                    DESCRIPTION_IS_MISSING
