# LINAC-BOOSTER TRANSPORT LINE PV FLATLIST
# ========================================
#
# Lists all TB PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-27 17:20:34  (by sirius-recordnames-generate-flatlist.py)
#


# --- TI (timing) ---

TBFK-ERRORX-QD-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-QD-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-QD-02                                 DESCRIPTION_IS_MISSING
TBFK-ERRORX-Q1C-01                                DESCRIPTION_IS_MISSING
TBFK-ERRORX-Q1B-01                                DESCRIPTION_IS_MISSING
TBFK-ERRORX-Q1A-01-B                              DESCRIPTION_IS_MISSING
TBFK-ERRORX-Q1A-01-A                              DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-05-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-05-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-02-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CV-02-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CH-04                                 DESCRIPTION_IS_MISSING
TBFK-ERRORX-CH-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CH-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CH-02-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-CH-02-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-BEND-04                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-BEND-03                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-BEND-02                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-BEND-01                               DESCRIPTION_IS_MISSING
TBFK-ERRORX-SEPIN-05                              DESCRIPTION_IS_MISSING

# --- FK (virtual accelerator fake PVs - roll rotation errors) ---

TBFK-ERRORR-SEPIN-05                              DESCRIPTION_IS_MISSING
TBFK-ERRORR-QF-05                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-QF-04                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-QF-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-QF-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-QF-02                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-QD-05                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-QD-04                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-QD-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-QD-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-QD-02                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-Q1C-01                                DESCRIPTION_IS_MISSING
TBFK-ERRORR-Q1B-01                                DESCRIPTION_IS_MISSING
TBFK-ERRORR-Q1A-01-B                              DESCRIPTION_IS_MISSING
TBFK-ERRORR-Q1A-01-A                              DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-05-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-05-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-02-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CV-02-A                               DESCRIPTION_IS_MISSING
